,ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_you,popden_w_1,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,Neighbors,HCFAI,Cluster
16,2868165,Centro Toma,Bani,Pangasinan,0,0,0,0,0,72.4554044008255,0.706414798,1.092625713,1.152045543,0,0,0,0,2877844,11.842269228459,"2868165, 2868166, 2869548, 2869547, 2868165, 2869548, 2869547, 2869547",0.40198112,0
17,2868166,Centro Toma,Bani,Pangasinan,0,0,0,0,0,285.880961358547,0.706414798,1.092625713,1.152045543,0,0,0,0,2877844,11.0342518832994,"2868166, 2868167, 2869549, 2869548, 2868165, 2869548",0.4019817,0
18,2868167,Centro Toma,Bani,Pangasinan,117.986555,83.616104,436.964104,145.672594,207.864109999999,270.879691600799,0.706414798,1.092625713,1.152045543,1,0,1,0,2877844,10.2721175857805,"2868167, 2869550, 2869549, 2869550",0.5862246,1
19,2868168,Dacap Sur,Bani,Pangasinan,0,0,0,0,0,3.68658969400369,0.717827816,1.107051611,1.159697305,,0,0,0,2877844,9.45950022747835,"2868168, 2869551, 2869551",,
20,2868169,Dacap Sur,Bani,Pangasinan,14.150752,7.895268,60.55064,23.92874,29.759092,278.621671617031,0.717827816,1.107051611,1.159697305,1,0,0,0,2877844,9.67516734341721,"2868169, 2869551, 2868169, 2869552, 2869551, 2868170, 2868170",0.51798,0
21,2868170,San Simon,Bani,Pangasinan,12.543929,9.420084,54.966515,19.986574,25.648376,499.252839744091,0.695192921,1.106414223,1.178718628,1,0,0,0,2877844,9.97323975606899,"2868170, 2869553, 2868170, 2868171, 2869553",0.51634574,0
22,2868171,Macaboboni,Agno,Pangasinan,68.447781,33.2073269999999,244.424060999999,90.585999,120.178916999999,217.193801105022,0.734486955,1.099466392,1.180280558,0,0,0,0,2877844,10.3026174439059,"2868171, 2869553, 2868172",0.39800885,0
23,2868172,Macaboboni,Agno,Pangasinan,53.237163,25.8279209999999,190.107602999999,70.455777,93.472491,232.737514674663,0.734486955,1.099466392,1.180280558,1,0,0,0,2877844,10.8181292841604,2868172,0.51470125,0
24,2868173,Boboy,Agno,Pangasinan,131.885311,67.5406769999999,484.306416,182.462548999999,235.977187,395.480239152908,1.103491785,1.127814849,1.214560048,1,0,0,1,2877844,11.2513700461617,"2868173, 2869556, 2869555, 2869555, 2868173, 2869555, 2868172",0.54015285,1
25,2868174,Boboy,Agno,Pangasinan,10.1564,5.875824,39.82798,15.553648,19.010016,253.709700405597,1.103491785,1.127814849,1.214560048,1,0,0,1,2877844,12.0100371874924,"2868174, 2868173, 2869556, 2868173",0.5434594,1
26,2868175,Aloleng,Agno,Pangasinan,2.60970235065732,1.5098018692498,10.2338597365141,3.99653339243201,4.88465238087358,190.926124572753,1.089601628,1.154037078,1.221724545,0,0,0,1,2877844,12.8275321514258,"2868175, 2869557, 2869558, 2868175, 2869557, 2869558",0.42140958,0
27,2868176,Aloleng,Agno,Pangasinan,76.4760969999999,49.9843589999999,299.906248,104.217424,140.206169999999,283.129411697387,1.089601628,1.154037078,1.221724545,0,0,0,1,2877844,14.8348726367393,"2868176, 2869558, 2869559, 2868177, 2869558",0.42413905,0
28,2868177,Aloleng,Agno,Pangasinan,3.136416,3.596064,16.5473,5.705032,8.11142,201.79588779807,1.089601628,1.154037078,1.221724545,1,0,0,1,2877844,15.903708845454,"2868177, 2868176, 2869559, 2868177, 2869560, 2868178, 2869560, 2868178",0.5424064,1
29,2868178,Magsaysay,Agno,Pangasinan,7.056936,8.09114399999999,37.231425,12.836322,18.250695,168.705448031425,0.904484395,0.270884752,1.119130326,1,0,0,0,2877844,17.1437972076415,"2868178, 2869561, 2869560, 2868179, 2868178, 2869561",0.5375703,1
30,2868179,Tupa,Agno,Pangasinan,48.46593,61.822671,219.432310999999,67.928596,96.168587,326.982581555843,0.838775211,1.100792476,1.080508884,1,0,0,0,2877844,18.5582056672383,"2868179, 2869562, 2868178, 2869561",0.5232576,0
31,2868180,Gayusan,Agno,Pangasinan,89.854814,111.623648,404.216777,127.355939,178.616291,241.26905465126,0.853294888,1.143231201,1.233991516,1,0,0,0,2877844,20.0029833622984,"2868180, 2869562, 2869563, 2869562, 2868180, 2868179, 2869562",0.5010687,0
