fid,neighbours
2881999,"2880617,2880618,2881998,2882000"
2882000,"2880618,2880619,2881999,2882001"
2882001,"2880619,2880620,2882000,2882002"
2882002,"2880620,2880621,2882001,2882003"
2882003,"2880621,2880622,2882002,2882004"
2882004,"2880622,2880623,2882003,2882005"
2882005,"2880623,2880624,2882004,2882006"
2882006,"2880624,2880625,2882005,2882007"
2882007,"2880625,2880626,2882006,2882008"
2882008,"2880626,2880627,2882007,2882009"
2882009,"2880627,2880628,2882008,2882010"
2882010,"2880628,2880629,2882009,2882011"
2882011,"2880629,2880630,2882010,2882012"
2882012,"2880630,2880631,2882011,2882013"
2882013,"2880631,2882012,2882014"
2882014,"2882013"
2882015,"2882016"
2882016,"2880634,2880635,2882015,2882017"
2882017,"2880635,2882016,2883399"
2883358,"2883359,2884740"
2883359,"2883358,2883360,2884740,2884741"
2883360,"2883359,2883361,2884741,2884742"
2883361,"2883360,2883362,2884742,2884743"
2883362,"2883361,2883363,2884743,2884744"
2883363,"2883362,2883364,2884744,2884745"
2883364,"2883363,2883365,2884745,2884746"
2883365,"2883364,2883366,2884746"
2883366,"2883365,2883367,2884747,2884748"
2883367,"2883366,2883368,2884748,2884749"
2883368,"2883367,2883369"
2883369,"2883368,2883370,2884751"
2883370,"2883369,2883371,2884751,2884752"
2883371,"2883370,2883372,2884752,2884753"
2883372,"2883371,2883373,2884753,2884754"
2883373,"2883372,2883374,2884754,2884755"
2883374,"2883373,2883375,2884755,2884756"
2883375,"2883374,2883376,2884756,2884757"
2883376,"2883375,2883377,2884757,2884758"
2883377,"2883376,2883378,2884758,2884759"
2883378,"2883377,2883379,2884759,2884760"
2883379,"2883378,2883380,2884760,2884761"
2883380,"2883379,2883381,2884761,2884762"
2883381,"2883380,2883382,2884762,2884763"
2883382,"2883381,2883383,2884763,2884764"
2883383,"2883382,2883384,2884764,2884765"
2883384,"2883383,2883385,2884765,2884766"
2883385,"2883384,2883386,2884766,2884767"
2883386,"2883385,2883387,2884767,2884768"
2883387,"2883386,2883388,2884768,2884769"
2883388,"2883387,2883389,2884769,2884770"
2883389,"2883388,2883390,2884770,2884771"
2883390,"2883389,2883391,2884771,2884772"
2883391,"2883390,2883392,2884772,2884773"
2883392,"2883391,2883393,2884773,2884774"
2883393,"2883392,2883394,2884774,2884775"
2883394,"2883393,2883395,2884775,2884776"
2883395,"2883394,2883396,2884776,2884777"
2883396,"2883395,2883397,2884777,2884778"
2883397,"2883396,2883398,2884778,2884779"
2883398,"2883397,2883399,2884779,2884780"
2883399,"2882017,2883398,2884780,2884781"
2884739,"2884740"
2884740,"2883358,2883359,2884739,2884741"
2884741,"2883359,2883360,2884740,2884742"
2884742,"2883360,2883361,2884741,2884743"
2884743,"2883361,2883362,2884742,2884744"
2884744,"2883362,2883363,2884743,2884745"
2884745,"2883363,2883364,2884744,2884746"
2884746,"2883364,2883365,2884745"
2884747,"2883366,2884748"
2884748,"2883366,2883367,2884747,2884749"
2884749,"2883367,2884748"
2884751,"2883369,2883370,2884752"
2884752,"2883370,2883371,2884751,2884753"
2884753,"2883371,2883372,2884752,2884754"
2884754,"2883372,2883373,2884753,2884755"
2884755,"2883373,2883374,2884754,2884756"
2884756,"2883374,2883375,2884755,2884757"
2884757,"2883375,2883376,2884756,2884758"
2884758,"2883376,2883377,2884757,2884759"
2884759,"2883377,2883378,2884758,2884760"
2884760,"2883378,2883379,2884759,2884761"
2884761,"2883379,2883380,2884760,2884762"
2884762,"2883380,2883381,2884761,2884763"
2884763,"2883381,2883382,2884762,2884764"
2884764,"2883382,2883383,2884763,2884765"
2884765,"2883383,2883384,2884764,2884766"
2884766,"2883384,2883385,2884765,2884767"
2884767,"2883385,2883386,2884766,2884768"
2884768,"2883386,2883387,2884767,2884769"
2884769,"2883387,2883388,2884768,2884770"
2884770,"2883388,2883389,2884769,2884771"
2884771,"2883389,2883390,2884770,2884772"
2884772,"2883390,2883391,2884771,2884773"
2884773,"2883391,2883392,2884772,2884774"
2884774,"2883392,2883393,2884773,2884775"
2884775,"2883393,2883394,2884774,2884776"
2884776,"2883394,2883395,2884775,2884777"
2884777,"2883395,2883396,2884776,2884778"
2884778,"2883396,2883397,2884777,2884779"
2884779,"2883397,2883398,2884778,2884780"
2884780,"2883398,2883399,2884779,2884781"
2884781,"2883399,2884780"
2886122,"2886123"
2886123,"2886122,2886124,2887504,2887505"
2886124,"2886123,2886125,2887505,2887506"
2886125,"2886124,2887506,2887507"
2886126,"2886127,2887508"
2886127,"2886126,2886128,2887508,2887509"
2886128,"2886127,2886129,2887509,2887510"
2886129,"2886128,2886130,2887510,2887511"
2886130,"2886129,2886131,2887511,2887512"
2886131,"2886130,2887512,2887513"
2886134,"2886135,2887516"
2886135,"2886134,2886136,2887516,2887517"
2886136,"2886135,2886137,2887517,2887518"
2886137,"2886136,2886138,2887518,2887519"
2886138,"2886137,2886139,2887519,2887520"
2886139,"2886138,2886140,2887520,2887521"
2886140,"2886139,2886141,2887521,2887522"
2886141,"2886140,2886142,2887522,2887523"
2886142,"2886141,2886143,2887523,2887524"
2886143,"2886142,2886144,2887524,2887525"
2886144,"2886143,2886145,2887525,2887526"
2886145,"2886144,2886146,2887526,2887527"
2886146,"2886145,2886147,2887527,2887528"
2886147,"2886146,2886148,2887528,2887529"
2886148,"2886147,2886149,2887529,2887530"
2886149,"2886148,2886150,2887530,2887531"
2886150,"2886149,2886151,2887531,2887532"
2886151,"2886150,2886152,2887532,2887533"
2886152,"2886151,2886153,2887533,2887534"
2886153,"2886152,2886154,2887534,2887535"
2886154,"2886153,2886155,2887535,2887536"
2886155,"2886154,2886156,2887536,2887537"
2886156,"2886155,2886157,2887537,2887538"
2886157,"2886156,2886158,2887538,2887539"
2886158,"2886157,2886159,2887539,2887540"
2886159,"2886158,2886160,2887540,2887541"
2886160,"2886159,2886161,2887541,2887542"
2886161,"2886160,2886162,2887542,2887543"
2886162,"2886161,2886163,2887543,2887544"
2886163,"2886162,2886164,2887544,2887545"
2886164,"2886163"
2887504,"2886123,2887505"
2887505,"2886123,2886124,2887504,2887506"
2887506,"2886124,2886125,2887505,2887507"
2887507,"2886125,2887506,2887508"
2887508,"2886126,2886127,2887507"
2887509,"2886127,2886128"
2887510,"2886128,2886129,2887511"
2887511,"2886129,2886130,2887510,2887512"
2887512,"2886130,2886131,2887511,2887513"
2887513,"2886131,2887512,2887514"
2887514,"2887513"
2887516,"2886134,2886135,2887517"
2887517,"2886135,2886136,2887516,2887518,2888900"
2887518,"2886136,2886137,2887517,2887519,2888900"
2887519,"2886137,2886138,2887518,2887520"
2887520,"2886138,2886139,2887519,2887521"
2887521,"2886139,2886140,2887520,2887522"
2887522,"2886140,2886141,2887521,2887523"
2887523,"2886141,2886142,2887522,2887524"
2887524,"2886142,2886143,2887523,2887525"
2887525,"2886143,2886144,2887524,2887526"
2887526,"2886144,2886145,2887525,2887527"
2887527,"2886145,2886146,2887526,2887528"
2887528,"2886146,2886147,2887527,2887529"
2887529,"2886147,2886148,2887528,2887530"
2887530,"2886148,2886149,2887529,2887531"
2887531,"2886149,2886150,2887530,2887532"
2887532,"2886150,2886151,2887531,2887533"
2887533,"2886151,2886152,2887532,2887534"
2887534,"2886152,2886153,2887533,2887535"
2887535,"2886153,2886154,2887534,2887536"
2887536,"2886154,2886155,2887535,2887537"
2887537,"2886155,2886156,2887536,2887538"
2887538,"2886156,2886157,2887537,2887539"
2887539,"2886157,2886158,2887538,2887540"
2887540,"2886158,2886159,2887539,2887541"
2887541,"2886159,2886160,2887540,2887542"
2887542,"2886160,2886161,2887541,2887543"
2887543,"2886161,2886162,2887542,2887544"
2887544,"2886162,2886163,2887543,2887545"
2887545,"2886163,2887544"
2888891,"2888892,2890273"
2888892,"2888891,2888893,2890273,2890274"
2888893,"2888892,2888894,2890274,2890275"
2888894,"2888893,2888895,2890275,2890276"
2888895,"2888894,2888896,2890276,2890277"
2888896,"2888895,2888897,2890277,2890278"
2888897,"2888896,2890278,2890279"
2888898,"2890279,2890280"
2888899,"2888900,2890281"
2888900,"2887517,2887518,2888899,2888901,2890281,2890282"
2888901,"2888900,2888902,2890282,2890283"
2888902,"2888901,2888903,2890283,2890284"
2888903,"2888902,2888904,2890284,2890285"
2888904,"2888903,2888905,2890285,2890286"
2888905,"2888904,2888906,2890286,2890287"
2888906,"2888905,2888907,2890287,2890288"
2888907,"2888906,2888908,2890288,2890289"
2888908,"2888907,2888909,2890289,2890290"
2888909,"2888908,2888910,2890290,2890291"
2888910,"2888909,2888911,2890291,2890292"
2888911,"2888910,2888912,2890292,2890293"
2888912,"2888911,2888913,2890293,2890294"
2888913,"2888912,2888914,2890294,2890295"
2888914,"2888913,2888915,2890295,2890296"
2888915,"2888914,2888916,2890296,2890297"
2888916,"2888915,2888917,2890297,2890298"
2888917,"2888916,2888918,2890298,2890299"
2888918,"2888917,2888919,2890299,2890300"
2888919,"2888918,2888920,2890300,2890301"
2888920,"2888919,2888921,2890301,2890302"
2888921,"2888920,2888922,2890302,2890303"
2888922,"2888921,2888923,2890303,2890304"
2888923,"2888922,2888924,2890304,2890305"
2888924,"2888923,2888925,2890305,2890306"
2888925,"2888924,2888926,2890306,2890307"
2888926,"2888925,2888927,2890307,2890308"
2888927,"2888926,2888928,2890308,2890309"
2888928,"2888927"
2890273,"2888891,2888892,2890274,2891656"
2890274,"2888892,2888893,2890273,2890275"
2890275,"2888893,2888894,2890274,2890276"
2890276,"2888894,2888895,2890275,2890277"
2890277,"2888895,2888896,2890276,2890278"
2890278,"2888896,2888897,2890277,2890279"
2890279,"2888897,2888898,2890278,2890280"
2890280,"2888898,2890279"
2890281,"2888899,2888900,2891663"
2890282,"2888900,2888901,2890283"
2890283,"2888901,2888902,2890282,2890284"
2890284,"2888902,2888903,2890283,2890285"
2890285,"2888903,2888904,2890284,2890286"
2890286,"2888904,2888905,2890285,2890287"
2890287,"2888905,2888906,2890286,2890288"
2890288,"2888906,2888907,2890287,2890289"
2890289,"2888907,2888908,2890288,2890290"
2890290,"2888908,2888909,2890289,2890291"
2890291,"2888909,2888910,2890290,2890292"
2890292,"2888910,2888911,2890291,2890293"
2890293,"2888911,2888912,2890292,2890294"
2890294,"2888912,2888913,2890293,2890295"
2890295,"2888913,2888914,2890294,2890296"
2890296,"2888914,2888915,2890295,2890297"
2890297,"2888915,2888916,2890296,2890298"
2890298,"2888916,2888917,2890297,2890299"
2890299,"2888917,2888918,2890298,2890300"
2890300,"2888918,2888919,2890299,2890301"
2890301,"2888919,2888920,2890300,2890302"
2890302,"2888920,2888921,2890301,2890303"
2890303,"2888921,2888922,2890302,2890304"
2890304,"2888922,2888923,2890303,2890305"
2890305,"2888923,2888924,2890304,2890306"
2890306,"2888924,2888925,2890305,2890307"
2890307,"2888925,2888926,2890306,2890308"
2890308,"2888926,2888927,2890307,2890309"
2890309,"2888927,2890308"
2891656,"2890273,2891657"
2891657,"2891656,2891658,2893039"
2891658,"2891657,2891659,2893039,2893040"
2891659,"2891658,2891660,2893040,2893041"
2891660,"2891659,2891661,2893042"
2891661,"2891660,2891662,2893042,2893043"
2891662,"2891661,2891663,2893043,2893044"
2891663,"2890281,2891662,2891664,2893044,2893045"
2891664,"2891663"
2891665,"2891666,2893047"
2891666,"2891665,2891667,2893047,2893048"
2891667,"2891666,2891668,2893048,2893049"
2891668,"2891667,2891669,2893049,2893050"
2891669,"2891668,2891670,2893050,2893051"
2891670,"2891669,2891671,2893051,2893052"
2891671,"2891670,2891672,2893052,2893053"
2891672,"2891671,2891673,2893053,2893054"
2891673,"2891672,2891674,2893054,2893055"
2891674,"2891673,2891675,2893055,2893056"
2891675,"2891674,2891676,2893056,2893057"
2891676,"2891675,2891677,2893057,2893058"
2891677,"2891676,2891678,2893058,2893059"
2891678,"2891677,2891679,2893059,2893060"
2891679,"2891678,2891680,2893060,2893061"
2891680,"2891679,2891681,2893061,2893062"
2891681,"2891680,2891682,2893062,2893063"
2891682,"2891681,2891683,2893063,2893064"
2891683,"2891682,2891684,2893064,2893065"
2891684,"2891683,2891685,2893065,2893066"
2891685,"2891684,2891686,2893066,2893067"
