,ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_w_1,popden_you,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,HubDist,HCFAI,Cluster
2677,2719380,Panacan 2,Narra,Palawan,1.27116297674419,0.606405093023255,4.93908004651163,1.881813604651158,2.479987465116281,5.44926236058349,3.207409398,0.256611556,0.900073346,0.0,0,1,0,2719380,0.0281019049275763,,0.44633424,0.0
2679,2720733,Napsan,City of Puerto Princesa,Palawan,0.299507,0.199292,1.262941,0.513604,0.580794,0.715499623519618,3.476545582,0.348823869,0.815910313,1.0,0,0,0,2720733,0.0432774471940093,,0.49330848,0.0
2680,2720734,Napsan,City of Puerto Princesa,Palawan,0.299507,0.199292,1.262941,0.513604,0.580794,0.48428019948981,3.476545582,0.348823869,0.815910313,1.0,0,0,0,2720734,0.029259104281308,,0.49330848,0.0
2681,2720735,Aporawan,Aborlan,Palawan,0.299506999999999,0.199292,1.262941,0.513604000000001,0.580793999999999,0.545305791774742,3.935061016,0.334643152,0.871146405,1.0,0,0,0,2720735,0.100476152181794,,0.48105314,0.0
2682,2720736,Aporawan,Aborlan,Palawan,0.299507,0.199292,1.262941,0.513604,0.580794,0.225855020259171,3.935061016,0.334643152,0.871146405,1.0,0,0,0,2720736,0.0,,0.48105314,0.0
2688,2720742,Aporawan,Aborlan,Palawan,3.550741,1.181073,10.607086,4.235312000000001,4.927405,0.12563397141432,3.935061016,0.334643152,0.871146405,0.0,0,0,1,2720742,1.76387036135719e-13,,0.41115272,0.0
2698,2720752,Dumaguena,Narra,Palawan,3.21759,1.76268,13.719058,5.325345,6.491138000000002,0.75789197491748,2.766375891,0.25102512,0.92072976,0.0,0,0,1,2720752,0.0,,0.42962357,0.0
2699,2720753,Estrella Village,Narra,Palawan,10.021161,6.043474,38.660822,13.8791605,18.7957005,0.541597326231353,2.870520751,0.239977052,0.911670469,0.0,0,0,0,2720753,3.52774072271438e-13,,0.38745686,0.0
2700,2720754,Taritien,Narra,Palawan,16.824732,10.324268,63.602586,22.432976,31.100263,0.473997780852181,3.011719002,0.241806751,0.885373407,1.0,0,0,0,2720754,0.0,,0.50059706,0.0
2701,2720755,Estrella Village,Narra,Palawan,1.373737,0.566489,5.33916199999999,2.180983999999998,2.598770000000001,0.961422235412257,2.870520751,0.239977052,0.911670469,1.0,0,0,1,2720755,1.76732216245574e-13,,0.5504208,1.0
2702,2720756,Estrella Village,Narra,Palawan,1.373737,0.566489,5.339162,2.180984,2.59877,0.537702428064312,2.870520751,0.239977052,0.911670469,1.0,0,0,0,2720756,1.76387036135719e-13,,0.50130093,0.0
2703,2720757,Elvita,Narra,Palawan,1.136617,0.652501999999999,4.220215,1.768069999999999,2.104845999999998,0.60200864372524,3.282985131,0.238574277,0.859208112,0.0,0,0,0,2720757,0.0,,0.38472447,0.0
2704,2720758,Narra (Pob.),Narra,Palawan,1.136617,0.652502,4.220215,1.76807,2.104846,0.297156513322677,3.071464871,0.244251893,0.869810855,0.0,0,0,0,2720758,0.0,,0.38691497,0.0
2705,2720759,Elvita,Narra,Palawan,0.728474,0.398007,3.156318,1.127687,1.72108,0.314915108201759,3.282985131,0.238574277,0.859208112,0.0,0,0,0,2720759,0.0,,0.38472447,0.0
2706,2720760,Narra (Pob.),Narra,Palawan,0.728474,0.398007,3.156318,1.127687,1.72108,0.80659198941929,3.071464871,0.244251893,0.869810855,0.0,0,0,0,2720760,1.76387036135719e-13,,0.38691497,0.0
2707,2720761,Narra (Pob.),Narra,Palawan,1.00180726881721,0.602919164874552,4.4161978996416,1.643633996415784,2.324123331541233,14.951291495135852,3.071464871,0.244251893,0.869810855,0.0,0,0,1,2720761,1.76387036135719e-13,,0.42820036,0.0
2708,2720762,Panacan 2,Narra,Palawan,1.26619115517241,0.590320465517241,4.87141131034482,1.85559937931034,2.441718448275872,6.273708226144776,3.207409398,0.256611556,0.900073346,0.0,0,0,1,2720762,0.057078795332702,,0.42347252,0.0
2709,2720763,Panacan,Narra,Palawan,1.258154,0.564318999999999,4.762022,1.813222999999995,2.379855000000005,13.452166943067915,3.191879194,0.259106517,0.906457171,0.0,0,0,0,2720763,0.0106858087395517,,0.38278195,0.0
2711,2722114,Napsan,City of Puerto Princesa,Palawan,0.299506999999999,0.199292,1.262941,0.513604000000001,0.580793999999999,0.667693871243667,3.476545582,0.348823869,0.815910313,1.0,0,0,1,2722114,0.107720014495689,,0.54277366,1.0
2712,2722115,Napsan,City of Puerto Princesa,Palawan,0.299507,0.199292,1.262941,0.513604,0.580794,0.13131602433111,3.476545582,0.348823869,0.815910313,1.0,0,0,0,2722115,0.0,,0.49330848,0.0
2714,2722117,Aporawan,Aborlan,Palawan,0.299507,0.199292,1.262941,0.513604,0.580794,0.111324849345467,3.935061016,0.334643152,0.871146405,1.0,0,0,0,2722117,0.0,,0.48105314,0.0
2715,2722118,Aporawan,Aborlan,Palawan,0.299507,0.199292,1.262941,0.513604,0.580794,0.075413794562753,3.935061016,0.334643152,0.871146405,0.0,0,0,0,2722118,1.76387036135719e-13,,0.37291542,0.0
2720,2722123,Aporawan,Aborlan,Palawan,3.550741,1.181073,10.607086,4.235312000000001,4.927405,0.09121208208214,3.935061016,0.334643152,0.871146405,0.0,0,0,0,2722123,3.52774072271438e-13,,0.37291542,0.0
2729,2722132,Apoc-apoc,Aborlan,Palawan,3.21759,1.762680000000001,13.719058,5.325345,6.491138000000006,1.492765802505602,3.194188638,0.281714353,0.942369132,0.0,0,0,1,2722132,0.0,,0.4200515,0.0
2730,2722133,Dumaguena,Narra,Palawan,3.21759,1.76268,13.719058,5.325345,6.491138000000004,1.362737611519484,2.766375891,0.25102512,0.92072976,1.0,0,0,0,2722133,1.76387036135719e-13,,0.50215966,0.0
2731,2722134,Estrella Village,Narra,Palawan,3.21759,1.76268,13.719058,5.325345,6.491138,1.113484912423839,2.870520751,0.239977052,0.911670469,0.0,0,0,0,2722134,0.0,,0.38745686,0.0
2733,2722136,Estrella Village,Narra,Palawan,16.824732,10.324268000000002,63.602586,22.432976,31.100263,0.723397198733062,2.870520751,0.239977052,0.911670469,1.0,0,0,0,2722136,0.0,,0.50130093,0.0
2734,2722137,Estrella Village,Narra,Palawan,1.373737,0.566489,5.339162,2.180984,2.598770000000001,0.859017223971231,2.870520751,0.239977052,0.911670469,1.0,0,0,1,2722137,0.0,,0.5504208,1.0
2735,2722138,Taritien,Narra,Palawan,1.373737,0.566489,5.339162,2.180984,2.598770000000001,0.955376233892201,3.011719002,0.241806751,0.885373407,0.0,0,0,0,2722138,0.0,,0.38692966,0.0
2736,2722139,Taritien,Narra,Palawan,1.136617,0.652502,4.220215,1.76807,2.104846,0.569819238356182,3.011719002,0.241806751,0.885373407,0.0,0,0,0,2722139,1.76387036135719e-13,,0.38692966,0.0
2737,2722140,Elvita,Narra,Palawan,0.802681818181817,0.444278818181818,3.34975381818182,1.244120272727274,1.790855636363637,0.368354117371858,3.282985131,0.238574277,0.859208112,0.0,0,0,0,2722140,1.76387036135719e-13,,0.38472447,0.0
2738,2722141,Antipuluan,Narra,Palawan,0.728473999999999,0.398007,3.156318,1.127687000000001,1.72108,1.03989324473909,3.244005325,0.250214756,0.89617724,0.0,0,0,0,2722141,1.76732216245574e-13,,0.38287765,0.0
2739,2722142,Antipuluan,Narra,Palawan,0.728474000000003,0.398007000000003,3.15631800000002,1.127686999999999,1.721079999999988,3.523982623967614,3.244005325,0.250214756,0.89617724,0.0,0,0,1,2722142,0.0864652024194363,,0.4233347,0.0
2740,2722143,Antipuluan,Narra,Palawan,0.741715999999999,0.4021648,3.1964606,1.144825400000001,1.737549375,4.480016711595896,3.244005325,0.250214756,0.89617724,0.0,0,0,0,2722143,0.125632394306962,,0.38287765,0.0
2741,2722144,Panacan 2,Narra,Palawan,1.258154,0.564319,4.762022,1.813223,2.379855,7.049811553955078,3.207409398,0.256611556,0.900073346,0.0,0,1,0,2720763,0.740977429644824,,0.44633424,0.0
2742,2723495,Napsan,City of Puerto Princesa,Palawan,0.299507,0.199292,1.262941,0.513604,0.580794,1.0498114850786,3.476545582,0.348823869,0.815910313,1.0,0,0,0,2723495,0.0485800938419053,,0.49330848,0.0
2743,2723496,Napsan,City of Puerto Princesa,Palawan,0.299506999999999,0.199292,1.262941,0.513604000000001,0.580793999999999,0.888860124826431,3.476545582,0.348823869,0.815910313,1.0,0,0,0,2723496,0.0672731148204928,,0.49330848,0.0
2744,2723497,Napsan,City of Puerto Princesa,Palawan,0.299507,0.199292,1.262941,0.513604000000001,0.580794000000001,0.15937392759536,3.476545582,0.348823869,0.815910313,1.0,0,0,0,2723497,0.0,,0.49330848,0.0
2745,2723498,Napsan,City of Puerto Princesa,Palawan,0.299507,0.199292,1.262941,0.513604,0.580794,0.078193454771237,3.476545582,0.348823869,0.815910313,1.0,0,0,0,2723498,0.0,,0.49330848,0.0
2746,2723499,Napsan,City of Puerto Princesa,Palawan,0.299507,0.199292,1.262941,0.513604,0.580794,0.052734059773918,3.476545582,0.348823869,0.815910313,1.0,0,0,0,2723499,0.0,,0.49330848,0.0
2761,2723514,Dumaguena,Narra,Palawan,3.21759,1.76268,13.719058,5.325345,6.491138,0.651016436836549,2.766375891,0.25102512,0.92072976,1.0,0,0,0,2723514,1.76387036135719e-13,,0.50215966,0.0
2762,2723515,Apoc-apoc,Aborlan,Palawan,3.21759,1.76268,13.719058,5.325345,6.491138000000004,1.600896869823609,3.194188638,0.281714353,0.942369132,0.0,0,0,0,2723515,1.76387036135719e-13,,0.38017243,0.0
2763,2723516,Jose Rizal,Aborlan,Palawan,2.1069162295082,1.338838196721311,8.73338013114753,3.23126795081967,4.052170786885251,1.996078231059257,3.068645644,0.271149012,0.94412257,0.0,0,0,1,2723516,0.0,,0.42233297,0.0
2764,2723517,Bagong Sikat,Narra,Palawan,1.55085871428571,0.931668714285714,6.68295457142857,2.873276,3.307596571428571,1.265407438987472,3.083382356,0.235640181,0.92149964,0.0,0,0,0,2723517,5.29506288517012e-13,,0.38405326,0.0
2765,2723518,Bagong Sikat,Narra,Palawan,1.426175,0.806099,6.301524,2.914358,3.224396,1.14839360330786,3.083382356,0.235640181,0.92149964,0.0,0,0,0,2723518,0.0,,0.38405326,0.0
2766,2723519,Bagong Sikat,Narra,Palawan,16.824732,10.324268,63.602586,22.432976,31.100263,0.919020178691348,3.083382356,0.235640181,0.92149964,0.0,0,0,0,2723519,1.76387036135719e-13,,0.38405326,0.0
