ID,barangay_name,city_name,province_name,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,population_children_under5,population_elder60plus,population_women,population_youth,population_reproductive_women,popden_all_total_population,Neighbors,HCFAI
2869547,Centro Toma,Bani,Pangasinan,0.706414798,1.092625713,0.729907681,0.0,0,0,0,2877844,11.813756023954085,16165.0017353531,7699.642001691867,48495.005206059286,15356.75425138544,20291.324687187807,5348576.492318273,"2966239, 2964856, 2966240, 2964857, 2966238, 2966239, 2964856, 2966238, 2966240",0.4999685680161015
2869548,Centro Toma,Bani,Pangasinan,0.706414798,1.092625713,0.729907681,1.0,0,0,0,2877844,10.81831547545806,0.0,0.0,0.0,0.0,0.0,3278217.436406493,"2964855, 2964856, 2966238, 2964855, 2964856, 2966237, 2966238, 2964855, 2964854",0.5000112071029256
2869549,Centro Toma,Bani,Pangasinan,0.706414798,1.092625713,0.729907681,0.0,0,0,1,2877844,9.898582949562751,739793.037132,526391.18298,2731543.5067020003,910514.48922,1298194.52166,9063447.577552736,"2964856, 2964857, 2966238, 2966239, 2964855, 2964856, 2966238, 2964855",0.4999879149646217
2869550,Centro Toma,Bani,Pangasinan,0.706414798,1.092625713,0.729907681,0.0,0,1,0,2877844,9.054318678481488,1285491.9076380006,814145.0644079996,5141968.229196,1719345.6771480003,2501353.13706,7436053.778366804,"2926240, 2927623, 2927622, 2926240, 2926241, 2926241, 2926239, 2926240, 2926239, 2926240, 2926241, 2926239, 2926240, 2927623, 2926240, 2926241, 2926240, 2927623, 2926241, 2927622, 2927623, 2926240, 2927622, 2926239",0.4999942301518568
2869551,Dacap Sur,Bani,Pangasinan,0.717827816,1.107051611,0.735315712,1.0,0,0,0,2877844,8.708390389848079,111781.90501200005,70795.222992,447127.672104,149508.319752,217508.96844000003,6419353.271933914,"2929004, 2927623, 2927622, 2929005, 2929004, 2927623, 2929005, 2929005, 2929003, 2929005, 2929003, 2927623, 2929003, 2929004, 2929004, 2927622, 2929003, 2929004, 2927623, 2929005, 2927622",0.5000064354305356
2869552,San Simon,Bani,Pangasinan,0.695192921,1.106414223,0.7487594,0.0,0,0,0,2877844,8.572279495522636,486775.3046219999,356372.994438,2183309.847360001,813589.6008600002,1028528.5385520004,5148237.040264607,"2927623, 2927622, 2926240, 2926241, 2926241, 2927624, 2926240, 2929005, 2927624, 2926240, 2926241, 2926240, 2929004, 2927623, 2929005, 2927624, 2929005, 2927624, 2926240, 2926241, 2927624, 2929005, 2926240, 2927623, 2926241, 2927624, 2929004, 2929004, 29",0.4999536573643222
2869553,San Simon,Bani,Pangasinan,0.695192921,1.106414223,0.7487594,1.0,0,0,1,2877844,8.72960496178094,1344848.202036001,852665.0208119991,5301348.735096004,1915501.977144,2517137.2710720017,4436071.529771805,"2927622, 2926240, 2926239, 2927621, 2926240, 2926239, 2926240, 2926239, 2926240, 2929004, 2927623, 2926240, 2929003, 2929003, 2927621, 2926240, 2927623, 2929003, 2929004, 2929004, 2927622, 2929003, 2927621, 2929004, 2927623, 2926240, 2927622, 2926239, 29",0.5000124557854931
2869554,Patar,Agno,Pangasinan,0.924961112,1.117767652,0.77252532,0.0,0,0,1,2877844,9.185425332443872,923771.2523760002,448166.0851919997,3298747.127255998,1222548.642504,1621934.6638319998,2417286.519913316,"2939940, 2939939, 2938558, 2939939, 2938559, 2938558, 2938558, 2938558, 2938558, 2938558, 2938559, 2939941, 2939940, 2939939, 2938558, 2939940, 2938558, 2938559, 2939941, 2938558, 2938559, 2939941",0.4999794273468146
2869555,Boboy,Agno,Pangasinan,1.103491785,1.127814849,0.774091015,1.0,0,0,0,2877844,9.898589962427302,0.0,0.0,0.0,0.0,0.0,3242248.1114657526,"2939939, 2938558, 2938557, 2939939, 2938557, 2939938, 2939938, 2938558, 2938557, 2938557, 2939938, 2938558, 2938558, 2938558, 2938558, 2939940, 2939939, 2938558, 2939940, 2938558, 2938558",0.49999627342198494
2869556,Boboy,Agno,Pangasinan,1.103491785,1.127814849,0.774091015,0.0,0,0,1,2877844,10.81832413800548,793052.3376,458807.8412159999,3109927.9903200013,1214491.0504320003,1484378.089344001,3035189.993619919,"2938558, 2938557, 2939939, 2938557, 2938559, 2938558, 2938557, 2938557, 2938558, 2938558, 2938558, 2938558, 2938559, 2939940, 2939939, 2938558, 2939940, 2938558, 2938559, 2938558, 2938559",0.49997950819728054
2869557,Aloleng,Agno,Pangasinan,1.089601628,1.154037078,0.779154662,0.0,0,1,1,2877844,11.896533291728367,2888309.070539997,1686879.9636840022,11326428.225090006,4387478.690088001,5397997.986935994,20912820.42124271,"2938557, 2939939, 2938557, 2939938, 2939938, 2938556, 2938558, 2938557, 2938556, 2938556, 2938556, 2938557, 2939938, 2938556, 2938558, 2938558, 2938558, 2938558, 2939939, 2938558, 2938558, 2938558",0.49999953713187956
2869558,Dangley,Agno,Pangasinan,1.104217753,1.153924068,0.773098811,0.0,0,0,1,2877844,13.059888968662456,3214743.7353839967,2101887.0015480025,12612858.23390402,4388250.029868002,5898034.817838012,21173307.83739066,"2941321, 2941321, 2942702, 2941320, 2941321, 2941320, 2941322, 2941321, 2942702, 2941320, 2942703",0.499995726371503
2869559,Dangley,Agno,Pangasinan,1.104217753,1.153924068,0.773098811,0.0,0,0,0,2877844,14.38271033485124,294159.15099,222442.614882,1236483.226836,428796.4640400001,585387.1587600003,3837920.7522375584,"2939939, 2938557, 2939938, 2939938, 2938558, 2938557, 2938557, 2939938, 2938558, 2938558, 2938558, 2938558, 2939940, 2939939, 2938558, 2939940, 2938558, 2938558",0.4999563084968794
2869560,Magsaysay,Agno,Pangasinan,0.700862531,1.151205487,0.800627175,0.0,0,0,0,2877844,15.738247989077722,489807.8138879997,561590.1227520003,2584158.7463999977,890943.4373759995,1266744.2385600011,2402520.7841418386,"2938557, 2939938, 2939938, 2938556, 2938558, 2938557, 2938556, 2938556, 2938556, 2938557, 2939938, 2938556, 2938558, 2938558, 2938558, 2938558, 2939939, 2938558, 2938558, 2938558",0.4999755246571169
2869561,Magsaysay,Agno,Pangasinan,0.700862531,1.151205487,0.800627175,0.0,0,0,0,2877844,17.145452848738955,423291.8804039999,465747.9861779998,2180041.0298820003,832171.1201999992,1108565.1981540008,6787631.346039712,"2941321, 2942702, 2941320, 2941321, 2941320, 2941322, 2941321, 2942702, 2941320, 2942703",0.49998082480397804
