ID,Neighbors
2876468,"2876468, 2876469, 2876467, 2876469, 2876467, 2876468, 2876469, 2877851, 2877850, 2876467, 2877851"
2876471,"2876471, 2876472, 2877854, 2876470, 2876471, 2877854, 2877853, 2877854, 2877853, 2876472, 2877853"
2876473,"2876473, 2876474, 2877856, 2877855, 2877856, 2876474, 2876472, 2877855, 2876473, 2876474, 2877856"
2876474,"2876474, 2876475, 2877856, 2877857, 2877856, 2877857, 2876474, 2876475, 2877857, 2876473, 2876474, 2877856, 2876475, 2877857"
2876475,"2876475, 2877857, 2877857, 2876474, 2876475, 2877857, 2876476, 2877858, 2876474, 2876475, 2877857, 2876476, 2877858, 2876476, 2877858"
2876476,"2876476, 2877858, 2876475, 2876476, 2877858, 2877859, 2876477, 2877859, 2877859, 2876476, 2876477, 2877858, 2877859, 2876477"
2876477,"2876477, 2877859, 2877860, 2876478, 2877859, 2876476, 2876477, 2877859, 2877860, 2876477, 2876478"
2876478,"2876478, 2877861, 2876477, 2877860, 2876477, 2876478"
2877833,"2877833, 2877834, 2877833"
2877834,"2877834, 2877833, 2876452, 2877835, 2877835, 2876452, 2877835, 2877835"
2877835,"2877835, 2877836, 2877835, 2876453, 2876452, 2877835, 2876453, 2877836, 2877835"
2877836,"2877836, 2877835, 2877836, 2877835, 2876453, 2877835, 2876454, 2876453, 2877836, 2877835, 2876454, 2877837"
2877837,2877837
2877841,"2877841, 2877840, 2876459, 2877842, 2877841, 2877840, 2876458, 2877840"
2877846,"2877846, 2876463, 2877845, 2877845, 2877847, 2876464, 2877846, 2877847"
2877847,"2877847, 2876465, 2876464, 2877846, 2877848, 2877847"
2877858,"2877858, 2876475, 2877857, 2876476, 2877858, 2877859, 2877859, 2877859, 2876476, 2877858, 2877859"
2877860,"2877860, 2877861, 2877859, 2876477, 2877859, 2877860, 2877861, 2876478, 2877859, 2877861, 2876477, 2877859, 2877860, 2876477, 2876478"
2879214,"2879214, 2879215, 2880596, 2880597, 2879215, 2880596, 2880597, 2880596, 2880597, 2879215, 2880597, 2880596, 2880597"
2879215,"2879215, 2880597, 2879215, 2879216, 2879216, 2880597, 2880597, 2879215, 2880597, 2880598, 2879216, 2880597"
2879216,"2879216, 2879217, 2879216, 2879217, 2880599, 2879215, 2880598, 2879216, 2879217, 2880599, 2879217"
2879217,"2879217, 2879216, 2879217, 2880599, 2879218, 2880600, 2879216, 2879217, 2880599, 2879218, 2880600, 2879217, 2879218"
2879218,"2879218, 2880600, 2879219, 2880601, 2879217, 2879218, 2880600, 2880601, 2879219, 2879217, 2879218, 2879219, 2880601"
2879224,"2879224, 2879225, 2879224, 2879223, 2879225, 2880606, 2880607, 2879224, 2879223, 2880606, 2879224, 2879223"
2879225,"2879225, 2880608, 2880607, 2880608, 2879225, 2879224, 2879226, 2879225, 2879224, 2880608, 2879226, 2880608, 2879226, 2879225, 2880607, 2879224, 2879224"
2879226,"2879226, 2879227, 2879227, 2880608, 2880609, 2879226, 2879225, 2880608, 2880608, 2879225, 2879226, 2879227, 2880609, 2879225, 2880608, 2879226, 2880609, 2880608, 2879226, 2879225, 2879227"
2879227,"2879227, 2879227, 2879228, 2880609, 2880610, 2879228, 2879226, 2879226, 2879227, 2880609, 2880610, 2879226, 2880609, 2879226, 2879227, 2879228, 2880610, 2879228"
2879228,"2879228, 2880610, 2880611, 2879228, 2880611, 2879229, 2879227, 2880610, 2880611, 2879229, 2879229, 2879227, 2879228, 2880610, 2880611, 2879229, 2879228"
2879241,"2879241, 2879242, 2880624, 2879241, 2879242, 2879240, 2879241, 2879241, 2880623, 2880624, 2879240, 2879241, 2880623, 2880624, 2880623"
2879244,"2879244, 2879245, 2880627, 2879245, 2880627, 2879243, 2880626, 2879244, 2880627, 2880626, 2880627"
2880596,"2880596, 2880597, 2880596, 2880597, 2880596, 2880597, 2881978, 2880597, 2881978, 2880596, 2880597, 2881978"
2880597,"2880597, 2879215, 2880596, 2880597, 2880596, 2880597, 2881979, 2881978, 2879215, 2880597, 2880598, 2881979, 2881978, 2880596, 2880597, 2881979, 2881978, 2881979"
2880598,"2880598, 2879216, 2880599, 2881980, 2881979, 2880597, 2881979, 2881980, 2881979"
2880599,"2880599, 2880600, 2881981, 2881980, 2880598, 2879216, 2879217, 2880599, 2881980, 2881981, 2881980, 2880600, 2881981, 2879217"
