ID,Cluster,pred_y,actual_y
2949595,0,1,0
2949598,0,1,0
2949599,0,1,0
2949625,0,1,0
2949634,0,1,0
2949638,0,1,0
2950936,0,1,0
2950951,0,1,0
2950952,0,1,0
2950953,0,1,0
2950954,0,1,0
2950955,0,1,0
2950956,0,1,0
2950958,0,1,0
2950959,0,1,0
2950960,0,1,0
2950961,0,1,0
2950962,0,1,0
2950967,0,1,0
2950968,0,1,0
2950969,0,1,0
2950970,0,1,0
2950977,0,1,0
2950978,0,1,0
2950979,0,1,0
2951006,0,1,0
2951007,0,1,0
2951036,0,1,0
2952318,0,1,0
2952333,0,1,0
2952334,0,1,0
2952335,0,1,0
