fid,RHU_Presence,Road_Presence,POI_Presence,buildability_landcov,Distance_to_Nearest_RHU_km,Nearest_RHU,Neighbors3,admin_boun,bg_name,popden_chi,cm_name,drought_value,popden_eld,flood_probability_value,popden_all,pr_name,rain_intensity_value,popden_wom,popden_w_1,popden_you,HCFAI
2979952,0,0,1,1.0,10.809860530273696,2971664,"2979952, 2979951, 2981333, 2979953, 2979952, 2979951",bg-329,Balaoi,0.476195500000001,Pagudpud,0.900614924,0.262016,1.471806961,3.838505500000004,Ilocos Norte,2.70626655,1.830010000000001,0.951343,0.705645,0.5293991992828039
2979953,0,0,1,1.0,9.85534180459664,2971664,"2979953, 2981335, 2979954, 2979953, 2981335, 2981334, 2979952, 2979953, 2979952",bg-338,Saguigui,0.74878,Pagudpud,0.915260876,0.779979,1.326537144,8.246977,Ilocos Norte,2.742928592,3.910294,1.965547,1.757552,0.5324226067624814
2979954,0,0,1,1.0,9.102115185747184,2971664,"2979954, 2979953, 2981336, 2981335, 2979955, 2981336, 2981336, 2979954, 2979953, 2981336, 2981335, 2979953",bg-338,Saguigui,0.0,Pagudpud,0.915260876,0.0,1.326537144,0.0,Ilocos Norte,2.742928592,0.0,0.0,0.0,0.5
2979955,0,0,1,1.0,8.603214589793527,2971664,"2979955, 2979954, 2981336, 2979955, 2981337, 2981336, 2979956, 2981337, 2981336, 2979956, 2979954, 2981336",bg-338,Saguigui,0.0,Pagudpud,0.915260876,0.0,1.326537144,0.0,Ilocos Norte,2.742928592,0.0,0.0,0.0,0.5
2979956,0,0,1,1.0,8.404056380223826,2971664,"2979956, 2979957, 2981338, 2981337, 2979956",bg-332,Dampig,0.0,Pagudpud,0.93201757,0.0,1.24945418,0.0,Ilocos Norte,2.769043605,0.0,0.0,0.0,0.5
2979957,0,0,1,1.0,8.525672303841874,2971664,"2979957, 2979958, 2979957, 2979956, 2981339, 2979957, 2981338, 2979958, 2979956",bg-201,Cabaritan (Dumalneg),0.0,Dumalneg,0.944424506,0.0,1.054280054,0.0,Ilocos Norte,2.780442715,0.0,0.0,0.0,0.5
2979958,0,0,1,1.0,8.955002810461174,2971664,"2979958, 2979957, 2981339, 2981340, 2979957, 2979959, 2979958",bg-201,Cabaritan (Dumalneg),0.0,Dumalneg,0.944424506,0.0,1.054280054,0.0,Ilocos Norte,2.780442715,0.0,0.0,0.0,0.5
2979959,0,0,1,1.0,9.651068605915244,2971664,"2979959, 2979958, 2981340, 2981341, 2979960, 2979959, 2979958",bg-201,Cabaritan (Dumalneg),0.0,Dumalneg,0.944424506,0.0,1.054280054,0.0,Ilocos Norte,2.780442715,0.0,0.0,0.0,0.5
2979960,0,0,1,1.0,10.56126120403292,2971664,"2979960, 2979959, 2981342, 2981341, 2979960, 2979959",bg-201,Cabaritan (Dumalneg),0.0,Dumalneg,0.944424506,0.0,1.054280054,0.0,Ilocos Norte,2.780442715,0.0,0.0,0.0,0.5
2979961,0,0,0,1.0,11.635437876230435,2971664,"2979961, 2979960, 2981342, 2979960",bg-201,Cabaritan (Dumalneg),0.0,Dumalneg,0.944424506,0.0,1.054280054,0.0,Ilocos Norte,2.780442715,0.0,0.0,0.0,0.5
