ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,phall_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km
3098913,Cataguing,San Mariano,Isabela,0.931706454545453,0.407944757575757,3.856880356060595,1.837648371212125,2.152322303030305,9.490193289770207,0.93881639,1.664902115,1.269875437,1.0,0,0,1,3086463,22.848429233210457
3098914,Bitabian,San Mariano,Isabela,0.373253433962263,0.208804196226414,1.672968347169813,0.84472152830189,0.952403656603778,2.788907799869776,0.897760765,1.683735212,1.301461807,1.0,0,0,0,3086463,24.245324950875165
3098915,Bitabian,San Mariano,Isabela,0.381895111627908,0.261376641860465,1.749424967441858,0.728805353488373,0.921940888372089,1.303411345440766,0.897760765,1.683735212,1.301461807,1.0,0,0,1,3086463,25.67227332160179
3098916,Bitabian,San Mariano,Isabela,2.162034625,2.020984625,10.8915965,4.368634500000001,5.572109625,1.769082835830491,0.897760765,1.683735212,1.301461807,1.0,0,0,0,3086463,27.12453179798207
3098917,Dipusu,San Mariano,Isabela,1.469535812499999,0.701741796875001,6.374626484374996,3.028390242187503,3.182111109375012,3.715534652860361,0.874695627,1.743498683,1.302167063,1.0,0,0,1,3086463,28.59824479777488
3098918,Daragutan West,San Mariano,Isabela,1.200513999999999,0.340253,4.846993999999998,2.484486000000002,2.388188000000002,2.339739830044241,0.79927334,2.071357591,1.323011021,1.0,0,0,0,3086463,30.090260193590552
3098919,Daragutan West,San Mariano,Isabela,0.48416,0.165719,1.689686,0.744112,0.773356,0.694913508982807,0.79927334,2.071357591,1.323011021,1.0,0,0,0,3086463,31.59798545050477
3098920,Nacalma,Benito Soliven,Isabela,0.48416,0.165719,1.689686,0.744112,0.773356,0.625553899673442,0.312266911,2.538163098,1.296319786,1.0,0,0,0,3086463,33.11927510993009
3098921,Nacalma,Benito Soliven,Isabela,0.481513684210526,0.165570473684211,1.677368000000001,0.742928315789474,0.769094,0.763242773531217,0.312266911,2.538163098,1.296319786,1.0,0,0,0,3086463,34.652342728960285
3098922,Nacalma,Benito Soliven,Isabela,0.45902,0.164307999999999,1.572665,0.732866999999999,0.732866999999999,1.111032903608349,0.312266911,2.538163098,1.296319786,1.0,0,0,0,3086463,36.19569177651455
3098923,Balliao,Benito Soliven,Isabela,0.45902,0.164308,1.572665,0.732867,0.732867,0.587751653986406,0.260651627,2.551864624,1.250104101,1.0,0,0,0,3086463,37.74806119244584
3098924,Balliao,Benito Soliven,Isabela,0.4921195625,0.157333375,1.65168925,0.7554688125,0.7729063125,0.361888803657273,0.260651627,2.551864624,1.250104101,1.0,0,0,0,3086463,39.308382295447245
3098925,Cadsalan,San Mariano,Isabela,0.576337,0.115267,1.838047000000001,0.809987,0.878524,0.410884698094993,0.329577102,2.649027688,1.132664378,1.0,0,0,0,3086463,40.87574449627356
3098926,Cadsalan,San Mariano,Isabela,0.579147823529412,0.137025,1.787166176470588,0.786857235294118,0.860823705882353,0.657847710190729,0.329577102,2.649027688,1.132664378,1.0,0,0,0,3086463,42.44936786763965
3098927,Dicamay,San Mariano,Isabela,0.580681,0.148893,1.759413,0.774241,0.851169,0.826086902155051,0.287045721,2.651002041,0.964630297,1.0,0,0,0,3086463,44.028581076976096
3098928,Dicamay,San Mariano,Isabela,0.580680999999999,0.148893,1.759412999999997,0.774241000000003,0.851168999999999,1.679554869524307,0.287045721,2.651002041,0.964630297,1.0,0,0,0,3086463,45.61280353418012
3098929,Dicamay,San Mariano,Isabela,0.748107,0.291179,2.575817,1.366303,1.334945,0.230545627004984,0.287045721,2.651002041,0.964630297,1.0,0,0,0,3086463,47.201530869276006
3098930,Dicamay,San Mariano,Isabela,,,,,,0.100427693793724,0.287045721,2.651002041,0.964630297,1.0,0,0,0,3053325,47.57613218928776
3098931,Dicamay,San Mariano,Isabela,,,,,,0.080177253150734,0.287045721,2.651002041,0.964630297,1.0,0,0,0,3053325,47.53138097709082
3098932,Burgos,San Guillermo,Isabela,0.748107,0.291179,2.575817,1.366303,1.334945,0.058377550276815,0.216686295,2.552197605,1.070290699,1.0,0,0,0,3053325,47.54388693007299
3098933,Rizal,San Guillermo,Isabela,0.748107,0.291179,2.575817,1.366303,1.334945,0.075264885054843,0.238796028,2.67627867,0.769700038,1.0,0,0,0,3053325,47.61360493431464
3098934,Rizal,San Guillermo,Isabela,,,,,,0.036390035574894,0.238796028,2.67627867,0.769700038,1.0,0,0,0,3053325,47.74028434258773
3098935,Rizal,San Guillermo,Isabela,,,,,,0.031914377487019,0.238796028,2.67627867,0.769700038,1.0,0,0,0,3053325,47.92347344973352
3098936,Rizal,San Guillermo,Isabela,,,,,,0.032149631926354,0.238796028,2.67627867,0.769700038,1.0,0,0,0,3065788,46.92395447614092
3098937,Rizal,San Guillermo,Isabela,,,,,,0.036441565478324,0.238796028,2.67627867,0.769700038,1.0,0,0,0,3065788,45.79888906454691
3098938,Rizal,San Guillermo,Isabela,,,,,,0.029446260240446,0.238796028,2.67627867,0.769700038,0.0,0,0,0,3065788,44.70642025375695
3098939,Rizal,San Guillermo,Isabela,,,,,,0.023711614678114,0.238796028,2.67627867,0.769700038,0.0,0,0,0,3065788,43.64899564725481
3098940,Rizal,San Guillermo,Isabela,,,,,,0.022296772524714,0.238796028,2.67627867,0.769700038,0.0,0,0,0,3065788,42.62922315889351
3098941,San Miguel,Echague,Isabela,,,,,,0.019843257685554,0.218516035,2.613268734,0.772007362,1.0,0,0,0,3065788,41.64986855337917
3098942,San Miguel,Echague,Isabela,,,,,,0.020433384019675,0.218516035,2.613268734,0.772007362,1.0,0,0,0,3065788,40.71384864417436
3098943,San Miguel,Echague,Isabela,,,,,,0.035146910176587,0.218516035,2.613268734,0.772007362,0.0,0,0,0,3065788,39.82421913998021
3098944,San Dionisio I,Maddela,Quirino,,,,,,0.073597647887948,0.14103263,2.705141155,0.64030113,0.0,0,0,0,3065788,38.98415610008785
