ID,barangay_name,city_name,province_name,popden_chi,popden_eld,popden_wom,popden_w_1,popden_you,popden_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,HCFAI
3114074,Lapi,Penablanca,Cagayan,0.078517,0.047429,0.44041,0.207252,0.233158,0.019319129189695,0.006932971,1.077282292,0.707687637,0.0,0,0,0,3075388,42.8490606069289,0.441621068419888
3114075,Santa Marina (Dianggo),Maconacon,Isabela,0.078517,0.047429,0.44041,0.207252,0.233158,0.01687571509738,0.006893652,1.079011069,0.534481017,1.0,0,0,0,3075388,42.22487411619792,0.5764143241298857
3114076,Santa Marina (Dianggo),Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.014907604831688,0.006893652,1.079011069,0.534481017,1.0,0,0,0,3075388,41.6567242796191,0.5764143241298857
3114077,Reina Mercedes,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.026226083341589,0.006943377,1.106677137,0.55593225,1.0,0,0,0,3075388,41.14693239967976,0.5741523977306632
3114078,Reina Mercedes,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.027342103933755,0.006943377,1.106677137,0.55593225,1.0,0,0,0,3075388,40.69769156824963,0.5741523977306632
3114079,Reina Mercedes,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.02234479750401,0.006943377,1.106677137,0.55593225,1.0,0,0,0,3075388,40.31102624864168,0.5741523977306632
3114080,Reina Mercedes,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.024196947515526,0.006943377,1.106677137,0.55593225,1.0,0,0,0,3075388,39.988751679374,0.5741523977306632
3114081,Aplaya,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.027601978146575,0.007006399,1.132994444,0.562063337,1.0,0,0,0,3075388,39.73243473813192,0.5730474695541464
3114082,Aplaya,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.022717340591184,0.007006399,1.132994444,0.562063337,1.0,0,0,0,3075388,39.543358045596726,0.5730474695541464
3114084,Aplaya,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.020670720723726,0.007006399,1.132994444,0.562063337,0.0,0,0,0,3075388,39.37045611959827,0.4515927047274274
3114085,Canadam,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.023108309457098,0.007157854,1.215606972,0.540876957,0.0,0,0,0,3075388,39.387531908450725,0.45109590714389713
3114086,Canadam,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.007482243247356,0.007157854,1.215606972,0.540876957,0.0,0,0,0,3078162,39.206353682879815,0.45109590714389713
3114087,Canadam,Maconacon,Isabela,0.0,0.0,0.0,0.0,0.0,0.006411924121319,0.007157854,1.215606972,0.540876957,0.0,0,0,0,3086463,38.565058606194725,0.45109590714389713
