ID,barangay_name,city_name,province_name,children,elderly,women,youth,women_rep,ph_all,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km
2911173,Tilik,Lubang,Occidental Mindoro,0.514588000000002,0.705483999999999,2.694673,0.982145000000002,1.225605999999999,1.137866314713444,0.9316639,1.141190806,0.831494864,0.0,0,0,1,2911173,0.0103630969919425
2911174,Tilik,Lubang,Occidental Mindoro,,,,,,0.135284132048698,0.9316639,1.141190806,0.831494864,1.0,0,0,0,2911174,1.76387036135719e-13
2911175,Tilik,Lubang,Occidental Mindoro,,,,,,0.06281386049543,0.9316639,1.141190806,0.831494864,1.0,0,0,1,2911175,0.0
2911176,Tilik,Lubang,Occidental Mindoro,,,,,,0.048519766246769,0.9316639,1.141190806,0.831494864,0.0,0,0,0,2911176,3.53119252381292e-13
2911177,Tilik,Lubang,Occidental Mindoro,,,,,,0.041639893371285,0.9316639,1.141190806,0.831494864,0.0,0,0,0,2911177,1.76732216245574e-13
2911178,Burol,Looc,Occidental Mindoro,,,,,,0.11837620993681,0.894775439,1.147340101,0.794898074,0.0,0,0,0,2911178,0.0963804969949234
2911280,Malawig,Coron,Palawan,,,,,,0.535489276051521,0.006706372,1.393747648,0.713397327,,0,0,0,2912662,1.06076610939323
2911284,Decabobo,Coron,Palawan,0.337865,0.127979,1.315626,0.557989,0.609181,0.273691413256357,0.874204453,1.426409403,0.834451978,1.0,0,0,0,2911284,0.425307885445831
2911285,Decabobo,Coron,Palawan,0.337865,0.127979,1.315626,0.557989,0.609181,0.302217569202185,0.874204453,1.426409403,0.834451978,1.0,0,0,0,2911285,0.0579199831330843
2911286,Decabobo,Coron,Palawan,0.337865,0.127979,1.315626,0.557989,0.609181,0.280224020385053,0.874204453,1.426409403,0.834451978,0.0,0,0,0,2911286,0.0253463724182253
2911287,San Nicolas,Coron,Palawan,0.393361551724138,0.219903344827586,1.51337572413793,0.520187689655173,0.68011975862069,0.20147970422502,0.887319886,1.528612256,0.891769144,1.0,0,0,0,2911287,0.0
2911288,San Nicolas,Coron,Palawan,0.399765,0.23051,1.536193,0.515826,0.688305,0.240994266770754,0.887319886,1.528612256,0.891769144,1.0,0,0,0,2911288,3.52774072271438e-13
2911289,San Nicolas,Coron,Palawan,0.399765000000001,0.23051,1.53619300000001,0.515826000000002,0.688305000000006,0.915324426265993,0.887319886,1.528612256,0.891769144,1.0,0,0,1,2911289,0.0
2911290,San Nicolas,Coron,Palawan,0.399765,0.23051,1.536193,0.515826,0.688305,0.377752170072756,0.887319886,1.528612256,0.891769144,1.0,0,0,0,2911290,1.76732216245574e-13
2911291,Barangay VI (Pob.),Coron,Palawan,0.298143,0.107663,1.106648,0.45032,0.533137,0.119975343530237,1.024707842,1.448780775,0.917050824,1.0,0,0,0,2911291,0.0
2911292,Guadalupe,Coron,Palawan,0.298143,0.107663,1.106648,0.45032,0.533137,0.380298283438169,1.016505373,1.411770843,0.975735755,1.0,0,0,0,2911292,0.0
2911293,Barangay VI (Pob.),Coron,Palawan,1.95410829834255,0.768611000000002,8.17874358563533,3.419697453038664,4.377946502762451,9.780061568683111,1.024707842,1.448780775,0.917050824,1.0,0,0,0,2911293,1.76387036135719e-13
2911294,Barangay IV (Pob.),Coron,Palawan,0.304501470183485,0.151868231651376,1.43266297706422,0.607058527522934,0.760272722477058,4.11883791027979,0.574777428,1.448780775,0.894688849,1.0,0,0,1,2911294,0.0
2911295,Barangay II (Pob.),Coron,Palawan,0.105738082135524,0.048622488706366,0.481451997946617,0.215063147843943,0.253084342915807,6.562947785532154,0.00602702,1.447841525,0.888112286,0.0,0,0,1,2911295,0.20357737755196
2911296,Lajala,Coron,Palawan,0.720680999999999,0.322543,2.928083,1.214574999999997,1.466561000000003,0.97029761200951,1.016902757,1.442352804,0.874963194,0.0,0,0,1,2911296,0.0507794759513269
2911297,Lajala,Coron,Palawan,0.720681,0.322543,2.928083,1.214575,1.466561,1.099174638589223,1.016902757,1.442352804,0.874963194,1.0,0,0,0,2911297,0.0701496345716889
2911298,Banuang Daan,Coron,Palawan,0.675668,0.242548,2.258002,0.912441,1.027939,0.507087346734637,0.694568878,1.529193878,0.776632689,1.0,0,0,0,2911298,0.330691566593383
