ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,allph_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km
3175425,Cabatuanan,Basay,Negros Oriental,2.865775,1.273678,8.517721,3.27972,3.550377,2.048312756364996,0.725551394,0.602248731,1.068460254,1.0,0,0,0,3187871,18.148907722227687
3175426,Linantayan,Basay,Negros Oriental,2.865775,1.273678,8.517720999999996,3.279719999999998,3.550376999999998,0.765077335766626,0.57824909,0.611604797,1.071062519,1.0,0,0,0,3187871,17.025035002148815
3175427,Linantayan,Basay,Negros Oriental,2.865775,1.273678,8.517721,3.27972,3.550377,0.88437627447503,0.57824909,0.611604797,1.071062519,1.0,0,0,0,3187871,15.9924858493577
3175428,Linantayan,Basay,Negros Oriental,4.601161,2.537405,17.457347,7.578383,7.747544,1.289204880011888,0.57824909,0.611604797,1.071062519,1.0,0,0,0,3187871,15.07012387625031
3175429,Actin,Basay,Negros Oriental,4.525294000000002,2.451274368421053,17.00694642105263,7.292921157894738,7.635844052631582,0.99822090949331,0.793061992,0.618180699,1.07826082,1.0,0,0,0,3187871,14.279317455066144
3175430,Actin,Basay,Negros Oriental,4.12067,1.991911,14.60481,5.770458,7.040111,0.757835265142577,0.793061992,0.618180699,1.07826082,1.0,0,0,0,3187871,13.642962427546678
3175431,Actin,Basay,Negros Oriental,4.120669999999998,1.991911000000002,14.604810000000002,5.770457999999998,7.040111000000002,2.416569033690861,0.793061992,0.618180699,1.07826082,1.0,0,0,1,3187871,13.183443565404696
3175432,Actin,Basay,Negros Oriental,4.12067,1.991911,14.60481,5.770458,7.040111,9.254845050665049,0.793061992,0.618180699,1.07826082,1.0,0,0,0,3187871,12.7686011838441
3176800,Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.23155769209067,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,26.79438395649569
3176801,Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.175769504039518,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,26.006271015698086
3176802,Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.20129457116127,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,24.68576093761497
3176803,Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.303746899444583,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,23.236328738919656
3176804,Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.460451559077763,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,21.815323950601005
3176805,Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,0.538735276439436,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,20.428679610781675
3176806,Tayawan,City of Bayawan (Tulong),Negros Oriental,8.166868,4.0673575,30.988715,12.7703255,13.7779315,0.604248360757317,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,19.083887133510917
3176807,Tayawan,City of Bayawan (Tulong),Negros Oriental,13.223314666666662,6.643262083333336,50.282173333333326,20.710168416666665,22.31801941666665,2.601991239628057,0.557591651,0.612266281,1.146668482,1.0,0,0,0,3187871,17.790439895451247
3176808,Cabatuanan,Basay,Negros Oriental,,,,,,1.71757344579522,0.725551394,0.602248731,1.068460254,1.0,0,0,0,3187871,16.560373227567684
3176809,Olandao,Basay,Negros Oriental,19.807138,11.318365,75.29173,33.21694,36.415608,0.871288139266627,0.751099731,0.619150718,1.095847726,1.0,0,0,0,3187871,15.408873338485554
