ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,general_me,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_repr_sum,youth_youth_sum
"2955389",Balibago,Calatagan,Batangas,"0.53284783076923","0.324359553846154","2.451076399999995","0.964347169230768","1.266232676923075","7.311304471386014","0.002853029","1.622580528","1.021053122","0.0","0","0","0","2985780","37.6802566181151",69.2702179999999,42.166742,644.950471999998,318.639931999999,164.610248,125.365132
"2955390",Balibago,Calatagan,Batangas,"0.634670148648649","0.43691027027027","2.760430189189193","0.969805878378379","1.361815216216216","15.498544362386069","0.002853029","1.622580528","1.021053122","0.0","0","1","1","2985780","38.7988127463318",46.965591,32.33136,416.672807999999,204.271834,100.774326,71.7656350000001
"2955391",Carretunan,Calatagan,Batangas,"0.55088","0.346465","2.134227","0.703325","1.011679","10.869892811775207","0.002838352","1.64319849","0.996711343","0.0","0","0","0","2985780","39.8123564182759",1.65264,1.039395,13.117179,6.402681,3.035037,2.109975
"2955392",Carretunan,Calatagan,Batangas,"0.598433828571429","0.454592457142857","2.541488314285715","0.777357942857143","1.202331714285715","6.600722146034242","0.002838352","1.64319849","0.996711343","0.0","0","0","0","2985780","40.9725987361625",20.945184,15.910736,181.284184,88.952091,42.08161,27.207528
"2955393",Gulod,Calatagan,Batangas,"0.664321333333336","0.484599555555555","2.794212555555549","0.896872444444445","1.376639333333327","13.702112298745377","0.002436327","1.71498661","0.939971498","0.0","0","0","0","2985780","42.0153660055211",95.6622720000003,69.782336,824.135680000003,402.366607999999,198.236063999999,129.149632
"2955394",Balitoc,Calatagan,Batangas,"0.547381000000001","0.319306","2.295958999999997","0.790661","1.126862000000001","8.730667222629894","0.002426241","1.720587349","0.91160331","0.0","0","0","1","2998241","43.1122255961567",29.011193,16.923218,251.967565,121.685827,59.7236860000001,41.905033
"2955395",Barangay 1 (Pob.),Calatagan,Batangas,"0.627669000000001","0.452211","2.776573999999998","1.018379","1.378338","11.82467717312752","0.002462545","1.72480011","0.909958459","0.0","0","0","0","2998241","42.8110824254709",21.340746,15.375174,193.727104,94.4035159999999,46.863492,34.624886
"2955396",Barangay 4 (Pob.),Calatagan,Batangas,"0.471737","0.310055666666667","2.095070666666667","0.726894333333333","1.076806666666667","13.744720377573152","0.004090002","1.525867581","0.906673482","0.0","0","0","1","2998241","42.571817611471",11.321688,7.44133600000001,101.894848,50.281696,25.84336,17.445464
"2955397",Barangay 4 (Pob.),Calatagan,Batangas,"0.208705","0.217743","1.124049","0.396868","0.550521","4.957031175494194","0.004090002","1.525867581","0.906673482","0.0","0","1","1","2998241","42.1845442614288",0.626115,0.653229,6.828108,3.372147,1.651563,1.190604
"2956741",Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,,,,,,"3.88685417175293","0.818003779","1.093190034","0.907144563",,"0","0","0","2971948","16.2944390096526",0,0,0,0,0,0
"2956742",Barangay 8 (Manuel S. Rojas),City of Cavite,Cavite,"0.663502","0.252763","2.920073","1.042646","1.574223","3.351710726613214","0.818003779","1.093190034","0.907144563",,"0","0","0","2971948","16.1154559863882",0.0214312668833967,0.00816430291279906,0.188745486762144,0.0943190280993891,0.0508477642071635,0.0336777051024805
"2956748",Sapang I,Ternate,Cavite,"0.104686","0.035892","0.365903","0.161516","0.192423","0.4203243275935","0.548473561","1.389226278","0.939100396","1.0","0","0","0","2971948","15.7342309279666",8.584252,2.943144,62.9512360000001,30.004046,15.778686,13.244312
"2956749",Patungan,Maragondon,Cavite,"0.104686","0.035892","0.365903","0.161516","0.192423","0.274046111458201","0.175822888","1.409887314","0.958695523","1.0","0","0","0","2971948","16.151439706002",1.465604,0.502488,10.747772,5.122642,2.693922,2.261224
"2956750",Patungan,Maragondon,Cavite,"4.051792","2.093426","17.985457","7.878485","8.396214000000002","0.680271553086788","0.175822888","1.409887314","0.958695523","1.0","0","1","0","2971948","16.9078380793639",16.207168,8.373704,149.286044,71.941828,33.584856,31.51394
"2956751",Patungan,Maragondon,Cavite,"4.051792000000001","2.093426","17.985457","7.878485","8.396214000000002","2.507380525185826","0.175822888","1.409887314","0.958695523","1.0","0","1","1","2971948","17.787238316499",72.932256,37.681668,671.787198,323.738226,151.131852,141.81273
"2956752",Patungan,Maragondon,Cavite,,,,,,"0.648732674809603","0.175822888","1.409887314","0.958695523","1.0","0","1","0","2971948","18.8779739356815",0,0,0,0,0,0
"2956753",Looc,Nasugbu,Batangas,"1.05727525","0.3391755","3.632884875000001","1.562620375","1.869544","0.51609388119296","0.553296669","1.413892312","1.019925365","1.0","0","1","0","2971948","19.9575550992691",8.458202,2.713404,62.035361,29.063079,14.956352,12.500963
"2956754",Looc,Nasugbu,Batangas,"0.901899","0.407133","3.432327999999999","1.398491","1.741724","0.98719037558649","0.553296669","1.413892312","1.019925365","1.0","0","0","0","2971948","21.1110428687292",13.528485,6.106995,107.84448,51.48492,26.12586,20.977365
"2956755",Looc,Nasugbu,Batangas,"0.901898999999998","0.407133","3.432328000000009","1.398490999999992","1.741723999999987","4.222050888538363","0.553296669","1.413892312","1.019925365","1.0","0","0","1","2971948","22.3269853884328",329.193134999999,148.603545,2624.21568000001,1252.79972,635.729259999995,510.449214999997
"2956756",Bulihan,Nasugbu,Batangas,"0.901899","0.407133000000001","3.432328000000005","1.398491000000003","1.741724000000002","1.501422881246447","0.459583012","1.54242877","1.040641195","1.0","0","0","0","2971948","23.5957293244861",69.446223,31.3492410000001,553.601664,264.289256,134.112748,107.683807
"2956757",Bulihan,Nasugbu,Batangas,"0.395780333333333","0.219704666666667","1.670189333333333","0.649619333333333","0.850747666666667","0.582603323982473","0.459583012","1.54242877","1.040641195","1.0","0","0","0","2971948","24.9092077089207",1.187341,0.659114,10.243114,5.010568,2.552243,1.948858
"2956758",Utod,Nasugbu,Batangas,"0.412492","0.176605272727273","1.59961583766234","0.631727590909092","0.825235285714285","1.19539354627745","0.532593452","1.51729908","1.084661355","1.0","0","0","1","2971948","26.260708972799",63.5237680000001,27.197212,503.858742000001,246.340839,127.086234,97.2860490000001
"2956759",Utod,Nasugbu,Batangas,"0.451206760797341","0.243420857142857","1.892922697674409","0.739886916943522","0.971574794019934","3.959831398680694","0.532593452","1.51729908","1.084661355","0.0","0","0","1","2971948","27.6259742082644",135.813235,73.269678,1160.126878,569.769731999997,292.444013,222.705962
"2956760",Bunducan,Nasugbu,Batangas,"1.591757803738322","1.00714321495327","7.15591247663551","2.780706096573211","3.717374657320871","31.28508292594046","0.566677149","1.488958518","1.115111902","0.0","0","0","1","2983012","28.9978103561021",510.954255000002,323.292972,4604.55041999999,2297.047905,1193.277265,892.606657000001
"2956761",Bucana,Nasugbu,Batangas,"2.859785084487573","2.257832285318627","13.381675984764698","4.750773364265948","6.840303835872568","129.6580867614746","0.544659332","1.477738857","1.128190115","0.0","0","1","1","2983012","29.6269911582717",4129.52966200006,3260.3098200001,38429.591772999,19323.1401220002,9877.39873899999,6860.11673800003
"2956762",Bucana,Nasugbu,Batangas,"0.360959571238345","0.215644407456724","1.605884877496671","0.588169392809585","0.84191005193076","11.373361952761387","0.544659332","1.477738857","1.128190115","0.0","0","0","1","2983012","30.4063140210645",271.080637999997,161.94895,2431.04445100001,1206.019543,632.274449000001,441.715213999999
"2956763",Bucana,Nasugbu,Batangas,"0.533528144578316","0.271181397590361","2.215487284337352","0.812920848192777","1.086486296385544","7.67867468355238","0.544659332","1.477738857","1.128190115","0.0","0","0","1","2985780","31.1781910278115",221.414180000001,112.54028,1842.04503300001,919.427223000001,450.891813000001,337.362152000003
"2956764",San Diego,Lian,Batangas,"0.67301632142857","0.297008714285714","2.670046750000008","1.00731207142857","1.309987535714286","2.110899966612136","0.500840945","1.550065994","1.149564502","0.0","0","1","1","2985780","31.7533462738856",75.3778279999999,33.264976,597.578999999999,299.045236000001,146.718604,112.818952
"2956765",San Diego,Lian,Batangas,"0.54214948","0.37345084","2.410774440000002","0.91013452","1.19266148","1.558217911432821","0.500840945","1.550065994","1.149564502","0.0","0","0","0","2985780","32.3482607891918",13.553737,9.336271,124.419964,60.269361,29.816537,22.753363
"2956766",Prenza,Lian,Batangas,"0.684834606635068","0.462261720379146","3.059569260663511","1.158511303317533","1.518370919431276","4.610894042598314","0.502700633","1.554196618","1.158938169","0.0","0","0","1","2985780","32.9510911531065",144.500101999999,97.5372229999997,1332.77531,645.569114000001,320.376263999999,244.445885
"2956767",Lumaniag,Lian,Batangas,"0.893630009259263","0.663536499999998","4.181990833333325","1.476917657407403","2.088933296296292","5.78646023597943","0.002829778","1.553132057","1.132870056","0.0","0","0","0","2985780","33.5453745874274",193.024082000001,143.323884,1835.04979200001,903.310019999998,451.209591999999,319.014213999999
"2956768",Luyahan,Lian,Batangas,"0.639061864","0.612255952","3.28474363999999","1.002121727999999","1.650729671999996","5.774968603679112","0.441061686","1.593830109","1.084020529","0.0","0","0","0","2985780","34.4103684594066",79.882733,76.531994,812.734185999999,410.592954999999,206.341209,125.265216
"2956769",Luyahan,Lian,Batangas,"0.511133884615386","0.376164803418799","2.480139948717944","0.943693711538462","1.293585149572653","5.77511127104222","0.441061686","1.593830109","1.084020529","0.0","0","1","1","2985780","35.4035396557477",239.210658000001,176.045127999998,2338.705743,1160.705496,605.397850000002,441.648657
"2956770",Balibago,Lian,Batangas,"0.553341333333337","0.316846541666667","2.543220361111104","1.045884472222226","1.334256888888897","7.065707257194242","0.459950941","1.619103909","1.052714587","0.0","0","0","1","2985780","36.314955139751",159.362304000001,91.251804,1481.005244,732.447463999998,384.265984000002,301.214728000001
"2956771",Biga,Calatagan,Batangas,"0.632424645098042","0.448006333333336","2.893680811764684","1.039368909803927","1.448730862745094","7.832079613125408","0.445371529","1.636501122","1.013611217","0.0","0","0","1","2985780","37.2771697978995",322.536569000001,228.483230000001,3002.406539,1475.77721399999,738.852739999998,530.078144000003
"2956772",Balibago,Calatagan,Batangas,"0.561804015151519","0.358256666666665","2.215867303030311","0.73806704545455","1.057327484848484","4.65761055737211","0.002853029","1.622580528","1.021053122","0.0","0","0","1","2985780","38.2863537620683",185.395325000001,118.224699999999,1497.02674000001,731.236210000003,348.91807,243.562125000002
"2956773",Carretunan,Calatagan,Batangas,"0.429123740740739","0.297081851851851","1.778943088888891","0.58471802222222","0.841717017283944","6.216667376653978","0.002838352","1.64319849","0.996711343","0.0","0","0","1","2985780","39.3216474782202",173.795114999999,120.31815,1468.53622500001,720.471951000001,340.895391999998,236.810798999999
"2956774",Gulod,Calatagan,Batangas,"0.602722779411767","0.451750579831932","2.590833306722694","0.835059035714281","1.272196273109246","7.041949232419332","0.002436327","1.71498661","0.939971498","0.0","0","0","1","2985780","40.4313999574672",286.896043000001,215.033275999999,2524.55537899998,1233.236654,605.565426000001,397.488100999998
"2956775",Gulod,Calatagan,Batangas,"0.519127350806449","0.330505364919359","2.173674645161311","0.788854830645163","1.13412410685484","7.195572518628394","0.002436327","1.71498661","0.939971498","0.0","0","0","1","2985780","41.5607245465433",257.487165999999,163.930661000002,2226.33715499999,1078.14262400001,562.525557,391.271996000001
"2956776",Balitoc,Calatagan,Batangas,"0.579974981651376","0.373260552752295","2.491071052752286","0.883106151376143","1.228952027522928","6.297760445876478","0.002426241","1.720587349","0.91160331","0.0","0","0","0","2998241","41.5498535120573",252.869092,162.741601000001,2239.83370699999,1086.106979,535.823083999997,385.034281999998
"2956777",Barangay 4 (Pob.),Calatagan,Batangas,"0.504783156862744","0.344549524509807","2.249719191176433","0.793532279411752","1.145933799019625","7.118761227423684","0.004090002","1.525867581","0.906673482","0.0","0","0","1","2998241","41.2703056993826",308.927291999999,210.864309000002,2800.06539599999,1376.82814499998,701.311485000011,485.641754999992
"2956778",Barangay 4 (Pob.),Calatagan,Batangas,"0.2146009079646","0.218419513274335","1.144128398230099","0.40273899469027","0.562484469026552","4.099293147276969","0.004090002","1.525867581","0.906673482","0.0","0","1","1","2998241","41.0552315450311",121.249512999999,123.407024999999,1308.34269199999,646.432545000006,317.803725000002,227.547532000003
"2956779",Barangay 4 (Pob.),Calatagan,Batangas,"0.668579840909091","0.420116045454545","2.838582931818181","1.133633393939393","1.447253348484849","3.819627639765923","0.004090002","1.525867581","0.906673482","0.0","0","0","0","2998241","40.887133684143",88.252539,55.4553179999999,783.497094000001,374.692947,191.037442,149.639608
