ID,barangay_name,city_name,province_name,children_m,elderly_me,women_mean,youth_mean,women_repr,allph_mean,flood_probability_value,rain intensity_value,drought_value,buildability_landcov,RHU_Presence,Road_Presence,POI_Presence,Nearest_RHU,Distance_to_Nearest_RHU_km,youth_children_sum,youth_elderly_sum,youth_phall_sum,youth_women_sum,youth_women_repr_sum,youth_youth_sum
"3174039",Tayawan,City of Bayawan (Tulong),Negros Oriental,"2.301243","0.741266","7.578614","3.16421","3.374419","0.224416014432472","0.557591651","0.612266281","1.146668482","1.0","0","0","0","3187871","24.741989571477408",4.602486,1.482532,31.752732,15.157228,6.748838,6.32842
"3174040",Tayawan,City of Bayawan (Tulong),Negros Oriental,"2.099132","0.976272","7.836565","3.242514","3.529826","0.447301253782473","0.557591651","0.612266281","1.146668482","1.0","0","0","0","3187871","23.43878768411839",4.198264,1.952544,32.747634,15.67313,7.059652,6.485028
"3174041",Cabatuanan,Basay,Negros Oriental,,,,,,"0.432076085358858","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","22.15397407179672",0,0,0,0,0,0
"3174042",Cabatuanan,Basay,Negros Oriental,"4.976587999999996","1.396937000000001","15.278999","6.722758999999998","6.984685000000004","0.511223404606183","0.725551394","0.602248731","1.068460254","1.0","0","0","1","3187871","20.920364365394544",149.29764,41.90811,970.434689999999,458.36997,209.54055,201.68277
"3174043",Cabatuanan,Basay,Negros Oriental,,,,,,"1.428574077317635","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","19.766803504030957",0,0,0,0,0,0
"3174044",Cabatuanan,Basay,Negros Oriental,"2.865775","1.273678","8.517720999999996","3.279719999999998","3.550376999999998","1.065764216440064","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","18.647027607584636",85.97325,38.21034,530.1684,255.53163,106.51131,98.3916
"3174045",Linantayan,Basay,Negros Oriental,"2.865775","1.273678","8.517720999999998","3.279719999999999","3.550376999999999","1.298708428016731","0.57824909","0.611604797","1.071062519","1.0","0","0","1","3187871","17.6323156251947",42.986625,19.10517,265.0842,127.765815,53.255655,49.1958
"3174046",Linantayan,Basay,Negros Oriental,"19.6226","11.435239","76.054489","36.132649","36.673962","2.717955158438001","0.57824909","0.611604797","1.071062519","1.0","0","0","0","3187871","16.71905348834146",78.4904,45.740956,647.1398,304.217956,146.695848,144.530596
"3174047",Actin,Basay,Negros Oriental,"20.549849","8.620912000000002","77.43784499999998","29.070518","35.78681","3.303309252006667","0.793061992","0.618180699","1.07826082","1.0","0","0","0","3187871","15.92470484700709",82.199396,34.483648,646.568412,309.75138,143.14724,116.282072
"3174048",Actin,Basay,Negros Oriental,"4.120669999999999","1.991911000000001","14.604809999999995","5.770458","7.040110999999998","1.381912218081994","0.793061992","0.618180699","1.07826082","1.0","0","0","1","3187871","15.26784134081065",49.44804,23.902932,369.491796,175.25772,84.481332,69.245496
"3174049",Actin,Basay,Negros Oriental,"4.12067","1.991911","14.60481","5.770458000000002","7.040111","0.982206631132535","0.793061992","0.618180699","1.07826082","1.0","0","0","0","3187871","14.766821388646065",12.36201,5.975733,92.372949,43.81443,21.120333,17.311374
"3174050",Nagbo-alao,Basay,Negros Oriental,"4.12067","1.991911000000001","14.604809999999992","5.770458000000002","7.040110999999998","2.931847319974528","0.848638836","0.613232476","1.053756216","1.0","0","0","0","3187871","14.449251321928871",90.65474,43.822042,677.401626,321.30582,154.882442,126.950076
"3175419",Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,"0.131667023704898","0.557591651","0.612266281","1.146668482","1.0","0","0","0","3187871","25.768393247568024",0,0,0,0,0,0
"3175420",Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,"0.179938201180526","0.557591651","0.612266281","1.146668482","1.0","0","0","0","3187871","24.671262523513157",0,0,0,0,0,0
"3175421",Tayawan,City of Bayawan (Tulong),Negros Oriental,"2.099132","0.976272","7.836565","3.242514","3.529826","0.59460969700345","0.557591651","0.612266281","1.146668482","1.0","0","0","0","3187871","23.279422787768624",4.198264,1.952544,32.747634,15.67313,7.059652,6.485028
"3175422",Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,"0.803368378111294","0.557591651","0.612266281","1.146668482","1.0","0","0","0","3187871","21.923345968373432",0,0,0,0,0,0
"3175423",Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,"0.658853197310652","0.557591651","0.612266281","1.146668482","1.0","0","0","0","3187871","20.610092527855954",0,0,0,0,0,0
"3175424",Tayawan,City of Bayawan (Tulong),Negros Oriental,"14.234604","7.158443","54.140865","22.298137","24.026037","1.69515485517735","0.557591651","0.612266281","1.146668482","1.0","0","0","0","3187871","19.34838422596657",28.469208,14.316886,230.222098,108.28173,48.052074,44.596274
"3175425",Cabatuanan,Basay,Negros Oriental,"2.865775","1.273678","8.517721","3.27972","3.550377","2.048312756364996","0.725551394","0.602248731","1.068460254","1.0","0","0","0","3187871","18.148907722227687",11.4631,5.094712,70.68912,34.070884,14.201508,13.11888
"3175426",Linantayan,Basay,Negros Oriental,"2.865775","1.273678","8.517720999999996","3.279719999999998","3.550376999999998","0.765077335766626","0.57824909","0.611604797","1.071062519","1.0","0","0","0","3187871","17.025035002148815",74.51015,33.115628,459.47928,221.460746,92.309802,85.27272
"3175427",Linantayan,Basay,Negros Oriental,"2.865775","1.273678","8.517721","3.27972","3.550377","0.88437627447503","0.57824909","0.611604797","1.071062519","1.0","0","0","0","3187871","15.9924858493577",2.86577499988531,1.27367799994903,17.6722799992927,8.51772099965912,3.55037699985791,3.27971999986874
"3175428",Linantayan,Basay,Negros Oriental,"4.601161","2.537405","17.457347","7.578383","7.747544","1.289204880011888","0.57824909","0.611604797","1.071062519","1.0","0","0","0","3187871","15.07012387625031",9.202322,5.07481,74.024566,34.914694,15.495088,15.156766
"3175429",Actin,Basay,Negros Oriental,"4.525294000000002","2.451274368421053","17.00694642105263","7.292921157894738","7.635844052631582","0.99822090949331","0.793061992","0.618180699","1.07826082","1.0","0","0","0","3187871","14.279317455066144",85.980586,46.574213,684.569477,323.131982,145.081037,138.565502
"3175430",Actin,Basay,Negros Oriental,"4.12067","1.991911","14.60481","5.770458","7.040111","0.757835265142577","0.793061992","0.618180699","1.07826082","1.0","0","0","0","3187871","13.642962427546678",20.60335,9.959555,153.954915,73.02405,35.200555,28.85229
"3175431",Actin,Basay,Negros Oriental,"4.120669999999998","1.991911000000002","14.604810000000002","5.770457999999998","7.040111000000002","2.416569033690861","0.793061992","0.618180699","1.07826082","1.0","0","0","1","3187871","13.183443565404696",193.67149,93.6198170000001,1447.176201,686.42607,330.885217,271.211526
"3175432",Actin,Basay,Negros Oriental,"4.12067","1.991911","14.60481","5.770458","7.040111","9.254845050665049","0.793061992","0.618180699","1.07826082","1.0","0","0","0","3187871","12.7686011838441",20.60335,9.959555,153.954915,73.02405,35.200555,28.85229
"3176800",Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,"0.23155769209067","0.557591651","0.612266281","1.146668482","1.0","0","0","0","3187871","26.79438395649569",0,0,0,0,0,0
"3176801",Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,"0.175769504039518","0.557591651","0.612266281","1.146668482","1.0","0","0","0","3187871","26.006271015698086",0,0,0,0,0,0
"3176802",Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,"0.20129457116127","0.557591651","0.612266281","1.146668482","1.0","0","0","0","3187871","24.68576093761497",0,0,0,0,0,0
"3176803",Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,"0.303746899444583","0.557591651","0.612266281","1.146668482","1.0","0","0","0","3187871","23.236328738919656",0,0,0,0,0,0
"3176804",Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,"0.460451559077763","0.557591651","0.612266281","1.146668482","1.0","0","0","0","3187871","21.815323950601005",0,0,0,0,0,0
"3176805",Tayawan,City of Bayawan (Tulong),Negros Oriental,,,,,,"0.538735276439436","0.557591651","0.612266281","1.146668482","1.0","0","0","0","3187871","20.428679610781675",0,0,0,0,0,0
"3176806",Tayawan,City of Bayawan (Tulong),Negros Oriental,"8.166868","4.0673575","30.988715","12.7703255","13.7779315","0.604248360757317","0.557591651","0.612266281","1.146668482","1.0","0","0","0","3187871","19.083887133510917",16.333736,8.134715,131.484866,61.97743,27.555863,25.540651
